,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth
0,32.0,0.001,,,,,,,,,,,,,,,,,0,,,,,120,10,DLSTM,1,120,5
1,,,gbdt,0.8,0.05,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5
2,,,,,,,,,,,True,,,,,,,,0,,,,,120,10,LR,1,120,10
3,32.0,0.005,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,10
4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,10
5,,,,,,,,,,,,,,,,32.0,0.001,,0,,,,,120,10,MHCNN,1,120,10
6,,,,,,,,,,,,,,,,,,"(500, 500, 500)",0,,,,,120,10,MLP,1,120,20
7,,,,,,,,,,,,,,,,,,,0,32.0,0.001,16.0,1.0,120,10,WaveNet,1,120,5
8,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5
9,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,10
10,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,10
11,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,1
12,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,1
13,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20
14,,,gbdt,0.8,0.1,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5
15,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,10
16,32.0,0.005,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20
17,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,120,10,MHCNN,1,120,1
18,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,20
19,,,,,,,,,,,,,,,,,,,0,32.0,0.001,16.0,3.0,120,10,WaveNet,1,120,5
20,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,20
21,,,gbdt,0.8,0.05,12.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5
22,,,gbdt,0.8,0.1,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,20
23,,,gbdt,0.8,0.05,12.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,1
24,,,,,,,,,,,,,,,,,,,0,32.0,0.005,16.0,3.0,120,10,WaveNet,1,120,1
25,,,,,,,,,,,,,,,,32.0,0.001,,0,,,,,120,10,MHCNN,1,120,20
26,,,gbdt,0.8,0.1,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,10
27,,,,,,,,,,,,,,,,,,,0,32.0,0.005,32.0,3.0,120,10,WaveNet,1,120,5
28,,,,,,,,,,,,,,,,,,"(200, 200, 200, 200)",0,,,,,120,10,MLP,1,120,20
29,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,20
30,,,gbdt,0.8,0.05,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,1
31,,,gbdt,0.8,0.05,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,20
32,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,10
33,,,gbdt,0.8,0.05,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,10
34,32.0,0.005,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,1
35,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,1
36,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,120,10,MHCNN,1,120,5
37,,,,,,,,,,,True,,,,,,,,0,,,,,120,10,LR,1,120,20
38,,,,,,,,,,,,,,,,,,,0,32.0,0.005,32.0,3.0,120,10,WaveNet,1,120,10
39,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,1.0,120,10,WaveNet,1,120,5
40,,,gbdt,0.8,0.1,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,10
41,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,20
42,32.0,0.005,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,10
43,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,5
44,,,gbdt,0.8,0.1,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5
45,,,,,,,,,,,,,,,,,,,0,32.0,0.005,16.0,1.0,120,10,WaveNet,1,120,10
46,,,gbdt,0.8,0.05,12.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,20
47,,,gbdt,0.8,0.1,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5
48,,,,,,,,,,,,,,,,,,,0,32.0,0.005,32.0,3.0,120,10,WaveNet,1,120,1
49,,,gbdt,0.8,0.05,12.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,20
