,model,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth,MAE_train,MAE_valid,MAE_test,RMSE_train,RMSE_valid,RMSE_test
0,config_0,32.0,0.001,,,,,,,,,,,,,,,,,0,,,,,120,10,DLSTM,1,120,5,142.72354125976562,90.70150756835938,104.7236099243164,187.9792938232422,128.8747100830078,140.34722900390625
1,config_0,32.0,0.001,,,,,,,,,,,,,,,,,0,,,,,120,10,DLSTM,1,120,5,112.16227722167969,88.7165298461914,112.6225814819336,155.0277557373047,138.74948120117188,151.61648559570312
2,config_0,32.0,0.001,,,,,,,,,,,,,,,,,0,,,,,120,10,DLSTM,1,120,5,116.34953308105469,91.71072387695312,189.97837829589844,166.84873962402344,130.32553100585938,249.19178771972656
3,config_0,32.0,0.001,,,,,,,,,,,,,,,,,0,,,,,120,10,DLSTM,1,120,5,106.9014663696289,109.56591033935547,255.2667236328125,150.58607482910156,161.30368041992188,320.8177185058594
4,config_0,32.0,0.001,,,,,,,,,,,,,,,,,0,,,,,120,10,DLSTM,1,120,5,96.56065368652344,198.04107666015625,300.356201171875,136.638427734375,266.313720703125,348.9542541503906
5,config_1,,,gbdt,0.8,0.05,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,111.0767150170337,69.44180002375549,77.34525096399328,148.22444711711816,99.10732302847285,108.4128193810572
6,config_1,,,gbdt,0.8,0.05,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,104.37301905879751,55.47256994008868,113.20819484908804,144.34945031096066,88.28637299987315,152.15620334558167
7,config_1,,,gbdt,0.8,0.05,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,94.19736814359862,73.75351437501074,167.59676531934824,135.5830072510958,100.81841960707618,212.40666042998225
8,config_1,,,gbdt,0.8,0.05,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,86.69522013416568,106.11796055490169,212.07348446259317,126.31953582491364,141.82229678143352,263.54458464597644
9,config_1,,,gbdt,0.8,0.05,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,78.10863159425959,174.7380141671191,248.55020666027906,112.73580357378117,232.58215488726762,287.46855322849234
10,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,120,10,LR,1,120,10,229.405517578125,318.3146667480469,255.3619842529297,268.1337890625,324.8643493652344,267.7034912109375
11,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,120,10,LR,1,120,10,222.84701538085938,172.01229858398438,92.49024963378906,261.91595458984375,182.59388732910156,120.32421112060547
12,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,120,10,LR,1,120,10,180.8468780517578,68.65138244628906,173.3111572265625,232.1645050048828,95.74834442138672,233.44773864746094
13,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,120,10,LR,1,120,10,137.85780334472656,107.34396362304688,324.92694091796875,194.94847106933594,145.72654724121094,371.2860107421875
14,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,120,10,LR,1,120,10,118.32698059082031,224.1824951171875,418.91607666015625,170.5271759033203,286.8511657714844,450.1612854003906
15,config_3,32.0,0.005,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,10,141.283935546875,77.53974914550781,62.534507751464844,189.96676635742188,108.97875213623047,88.22817993164062
16,config_3,32.0,0.005,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,10,143.0832977294922,87.59618377685547,158.47743225097656,200.8308868408203,111.78401184082031,188.51991271972656
17,config_3,32.0,0.005,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,10,129.15322875976562,99.33699798583984,186.70770263671875,183.0903778076172,126.56680297851562,236.76181030273438
18,config_3,32.0,0.005,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,10,126.19537353515625,139.97984313964844,268.3180847167969,182.71241760253906,171.95480346679688,319.6742858886719
19,config_3,32.0,0.005,,,,,,,,,,32.0,0.005,,,,,,0,,,,,120,10,LSTM,1,120,10,115.73835754394531,230.24945068359375,392.2130126953125,168.256103515625,288.39697265625,428.70745849609375
20,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,10,92.05095672607422,94.38054656982422,87.96495819091797,125.6670150756836,128.769287109375,128.56015014648438
21,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,10,89.02181243896484,72.40093231201172,103.65726470947266,126.72905731201172,107.848388671875,148.18043518066406
22,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,10,69.21818542480469,82.47120666503906,191.5377655029297,104.42174530029297,112.50787353515625,244.4195556640625
23,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,10,72.53437805175781,143.2552490234375,248.87156677246094,109.77562713623047,187.38743591308594,303.47967529296875
24,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,10,65.11517333984375,173.18247985839844,254.4188995361328,97.81781005859375,239.6051025390625,316.9397888183594
25,config_5,,,,,,,,,,,,,,,,32.0,0.001,,0,,,,,120,10,MHCNN,1,120,10,75.91088104248047,87.52936553955078,88.54049682617188,109.29781341552734,127.45103454589844,125.1373062133789
