,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth
0,32.0,0.005,,,,,,,,,,,,,,,,,0,,,,,24,10,DLSTM,1,24,8
1,,,gbdt,0.8,0.05,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8
2,,,,,,,,,,,True,,,,,,,,0,,,,,24,10,LR,1,24,1
3,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,24,10,LSTM,1,24,1
4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,24,10,MCCNN,1,24,2
5,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,24,10,MHCNN,1,24,2
6,,,,,,,,,,,,,,,,,,"(500, 500, 500)",0,,,,,24,10,MLP,1,24,1
7,,,,,,,,,,,,,,,,,,,0,32.0,0.005,8.0,1.0,24,10,WaveNet,1,24,8
8,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,1.0,24,10,WaveNet,1,24,8
9,,,,,,,,,,,,,,,,,,"(200, 200, 200, 200)",0,,,,,24,10,MLP,1,24,1
10,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1
11,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8
12,,,gbdt,0.8,0.1,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8
13,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8
14,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,24,10,LSTM,1,24,8
15,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1
