,model,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth,MAE_train,MAE_valid,MAE_test,RMSE_train,RMSE_valid,RMSE_test
0,config_0,32.0,0.005,,,,,,,,,,,,,,,,,0,,,,,24,10,DLSTM,1,24,8,1.9105114936828613,1.8138030767440796,2.2171432971954346,2.4540669918060303,2.2152392864227295,2.6493561267852783
1,config_0,32.0,0.005,,,,,,,,,,,,,,,,,0,,,,,24,10,DLSTM,1,24,8,2.0260651111602783,1.7071799039840698,1.6811895370483398,2.6999263763427734,2.2519938945770264,2.146655797958374
2,config_0,32.0,0.005,,,,,,,,,,,,,,,,,0,,,,,24,10,DLSTM,1,24,8,1.9129564762115479,1.9377131462097168,1.589377522468567,2.3594655990600586,2.2818124294281006,1.9419375658035278
3,config_0,32.0,0.005,,,,,,,,,,,,,,,,,0,,,,,24,10,DLSTM,1,24,8,1.7200119495391846,1.4078277349472046,1.4930130243301392,2.3214728832244873,1.8417507410049438,1.9062193632125854
4,config_0,32.0,0.005,,,,,,,,,,,,,,,,,0,,,,,24,10,DLSTM,1,24,8,1.681114673614502,1.433416485786438,1.8718351125717163,2.131746530532837,1.825946569442749,2.1960184574127197
5,config_1,,,gbdt,0.8,0.05,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,0.9472607064568688,1.6709949648400129,1.9818000248503054,1.2357434696854774,2.161768844355314,2.45634368491561
6,config_1,,,gbdt,0.8,0.05,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,0.9434024047053003,1.7305330641080214,1.636007691835191,1.228644085560109,2.2144279765199903,2.082118984596254
7,config_1,,,gbdt,0.8,0.05,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,0.9270013275279116,1.8310198546293506,1.3432788064110242,1.2199889646519526,2.2767178611560825,1.7718791842772075
8,config_1,,,gbdt,0.8,0.05,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,0.921398473551053,1.5032793646649496,1.4903028716921054,1.2233807731368398,1.949710488448841,1.928916155540916
9,config_1,,,gbdt,0.8,0.05,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,0.8735130987600426,1.3106197257363408,1.6140130739117564,1.1564885220993288,1.7529690166112983,1.9937353427107145
10,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,24,10,LR,1,24,1,1.677587628364563,1.5693334341049194,1.7943873405456543,2.177368402481079,1.955331563949585,2.16729998588562
11,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,24,10,LR,1,24,1,1.672813057899475,1.576676845550537,1.534550666809082,2.1732370853424072,1.974442481994629,1.901723861694336
12,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,24,10,LR,1,24,1,1.6070923805236816,1.6004010438919067,1.2990646362304688,2.1222658157348633,1.9748529195785522,1.6875351667404175
13,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,24,10,LR,1,24,1,1.5947288274765015,1.370996356010437,1.323624849319458,2.1034297943115234,1.7452409267425537,1.653220534324646
14,config_2,,,,,,,,,,,True,,,,,,,,0,,,,,24,10,LR,1,24,1,1.514685034751892,1.2730553150177002,1.485845685005188,1.9778566360473633,1.6626803874969482,1.7797926664352417
15,config_3,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,24,10,LSTM,1,24,1,1.854938268661499,1.8317965269088745,2.179776430130005,2.4461822509765625,2.3695273399353027,2.7002835273742676
